"","term","gene","human","mouse"
"1","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Acat2","ACAT2","Acat2"
"2","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Acp1","ACP1","Acp1"
"3","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Acp2","ACP2","Acp2"
"4","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ada","ADA","Ada"
"5","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Add3","ADD3","Add3"
"6","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Adra2a","ADRA2A","Adra2a"
"7","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Adsl","ADSL","Adsl"
"8","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Afp","AFP","Afp"
"9","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ahcyl1","AHCYL1","Ahcyl1"
"10","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Akr1b10","AKR1B1","Akr1b10"
"11","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Alg6","ALG6","Alg6"
"12","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Anapc5","ANAPC5","Anapc5"
"13","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ankrd10","ANKRD10","Ankrd10"
"14","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"AOF1",NA
"15","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ap3b1","AP3B1","Ap3b1"
"16","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Apex1","APEX1","Apex1"
"17","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Appbp2","APPBP2","Appbp2"
"18","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"APRIN",NA
"19","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Aqp1","AQP1","Aqp1"
"20","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Aqp4","AQP4","Aqp4"
"21","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Arf6","ARF6","Arf6"
"22","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Arhgap5","ARHGAP5","Arhgap5"
"23","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ascl2","ASCL2","Ascl2"
"24","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Asf1b","ASF1B","Asf1b"
"25","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"ATBF1",NA
"26","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Atp5j","ATP5J","Atp5j"
"27","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Aurkb","AURKB","Aurkb"
"28","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Axin2","AXIN2","Axin2"
"29","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Bcas2","BCAS2","Bcas2"
"30","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Bcl7c","BCL7C","Bcl7c"
